trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,3,-17.403466452110578,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-46.96604366162449,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",25,14,-60.01286263068888,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",30,0,-90.35980939773627,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,7,-75.48712737369414,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,0,-50.43332066100496,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-64.25217241935638,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,0,-56.631942298399096,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",30,9,-66.07307750055,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-70.4702330702522,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,0,-204.0960479217304,"{0: 21, 1: 0, 2: 3, 3: 2, 4: 4}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",35,21,-83.95783574539111,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,8,-23.052430377891366,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
